transaction_id,product_id,gender,generation,promo_item_yn,product_group,line_item_amount,period,price_evalution
7,52,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
11,27,N,Young,"N",Beverages,7.0,Evening,Average
19,46,N,Young,"N",Beverages,5.0,Evening,Average
32,23,F,Young,"N",Beverages,5.0,Evening,Average
33,34,M,Senior,"N",Beverages,2.45,Evening,Cheap
39,32,F,Young,"N",Beverages,3.0,Evening,Cheap
50,49,F,Senior,"N",Beverages,6.0,Evening,Average
53,60,M,Senior,"N",Beverages,3.75,Morning,Cheap
59,51,F,Senior,"N",Beverages,6.0,Evening,Average
62,49,M,Middle aged,"N",Beverages,6.0,Evening,Average
81,35,M,Senior,"N",Beverages,6.2,Evening,Average
90,47,F,Middle aged,"N",Beverages,3.0,Morning,Cheap
91,25,F,Middle aged,"N",Beverages,4.4,Evening,Average
94,23,M,Middle aged,"N",Beverages,5.0,Evening,Average
101,48,F,Middle aged,"N",Beverages,5.0,Evening,Average
103,53,M,Middle aged,"N",Beverages,6.0,Evening,Average
108,40,M,Senior,"N",Beverages,3.75,Evening,Cheap
112,37,M,Senior,"N",Beverages,6.0,Evening,Average
117,60,M,Senior,"N",Beverages,3.75,Evening,Cheap
120,53,M,Middle aged,"N",Beverages,6.0,Evening,Average
127,41,M,Senior,"N",Beverages,8.5,Evening,Expensive
134,38,M,Middle aged,"N",Beverages,7.5,Morning,Average
135,40,M,Middle aged,"N",Beverages,3.75,Evening,Cheap
137,40,M,Young,"N",Beverages,3.75,Morning,Cheap
138,38,N,Senior,"N",Beverages,3.75,Evening,Cheap
141,50,F,Senior,"N",Beverages,2.5,Evening,Cheap
143,59,M,Middle aged,"N",Beverages,9.0,Evening,Expensive
150,28,F,Middle aged,"N",Beverages,2.0,Evening,Cheap
156,34,M,Senior,"N",Beverages,2.45,Evening,Cheap
156,77,M,Senior,"N",Food,3.0,Evening,Cheap
162,55,F,Middle aged,"N",Beverages,4.0,Evening,Cheap
165,54,M,Middle aged,"N",Beverages,5.0,Evening,Average
175,47,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
180,45,F,Middle aged,"N",Beverages,6.0,Evening,Average
199,41,M,Senior,"N",Beverages,8.5,Evening,Expensive
199,79,M,Senior,"N",Food,3.75,Evening,Cheap
202,37,F,Senior,"N",Beverages,6.0,Evening,Average
212,50,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
219,43,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
224,38,N,Young,"N",Beverages,7.5,Evening,Average
226,40,F,Middle aged,"N",Beverages,3.75,Evening,Cheap
227,28,F,Middle aged,"N",Beverages,4.0,Evening,Cheap
238,41,F,Middle aged,"N",Beverages,4.25,Evening,Average
247,23,M,Middle aged,"N",Beverages,2.5,Evening,Cheap
248,32,F,Senior,"N",Beverages,6.0,Evening,Average
249,52,M,Senior,"N",Beverages,2.5,Morning,Cheap
260,61,F,Young,"N",Beverages,9.5,Evening,Expensive
262,58,M,Middle aged,"N",Beverages,3.5,Morning,Cheap
268,42,M,Middle aged,"N",Beverages,5.0,Evening,Average
269,53,M,Senior,"N",Beverages,3.0,Evening,Cheap
270,49,F,Senior,"N",Beverages,3.0,Morning,Cheap
276,42,F,Senior,"N",Beverages,5.0,Evening,Average
281,31,M,Middle aged,"N",Beverages,4.4,Morning,Average
290,43,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
296,39,F,Senior,"N",Beverages,4.25,Evening,Average
296,79,F,Senior,"N",Food,3.75,Evening,Cheap
297,48,F,Senior,"N",Beverages,5.0,Evening,Average
298,55,F,Senior,"N",Beverages,8.0,Evening,Average
317,48,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
325,22,F,Middle aged,"N",Beverages,4.0,Evening,Cheap
326,52,F,Young,"N",Beverages,5.0,Evening,Average
334,25,F,Middle aged,"N",Beverages,4.4,Evening,Average
337,39,F,Young,"N",Beverages,8.5,Evening,Expensive
344,41,F,Middle aged,"N",Beverages,4.25,Evening,Average
357,41,F,Middle aged,"N",Beverages,8.5,Evening,Expensive
357,76,F,Middle aged,"N",Food,3.5,Evening,Cheap
360,38,M,Senior,"N",Beverages,7.5,Evening,Average
366,51,F,Senior,"N",Beverages,3.0,Evening,Cheap
384,54,F,Middle aged,"N",Beverages,5.0,Evening,Average
385,31,F,Middle aged,"N",Beverages,4.4,Morning,Average
389,29,F,Senior,"N",Beverages,2.5,Evening,Cheap
390,25,M,Senior,"N",Beverages,2.2,Evening,Cheap
391,33,M,Middle aged,"N",Beverages,7.0,Evening,Average
391,79,M,Middle aged,"N",Food,3.75,Evening,Cheap
396,47,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
405,26,F,Middle aged,"N",Beverages,6.0,Evening,Average
411,22,F,Middle aged,"N",Beverages,4.0,Evening,Cheap
413,31,F,Middle aged,"N",Beverages,2.2,Evening,Cheap
413,76,F,Middle aged,"N",Food,3.5,Evening,Cheap
421,34,N,Senior,"N",Beverages,4.9,Evening,Average
422,26,F,Young,"N",Beverages,3.0,Evening,Cheap
426,46,F,Middle aged,"N",Beverages,5.0,Evening,Average
427,22,F,Senior,"N",Beverages,2.0,Evening,Cheap
429,47,N,Young,"N",Beverages,3.0,Evening,Cheap
434,26,F,Senior,"N",Beverages,6.0,Evening,Average
446,50,F,Young,"N",Beverages,5.0,Evening,Average
447,30,M,Young,"N",Beverages,3.0,Evening,Cheap
451,49,F,Senior,"N",Beverages,3.0,Evening,Cheap
457,34,F,Young,"N",Beverages,4.9,Evening,Average
459,35,F,Senior,"N",Beverages,3.1,Evening,Cheap
461,56,F,Senior,"N",Beverages,5.1,Evening,Average
470,41,M,Middle aged,"N",Beverages,4.25,Evening,Average
474,59,F,Senior,"N",Beverages,4.5,Evening,Average
480,26,M,Middle aged,"N",Beverages,6.0,Evening,Average
483,55,F,Senior,"N",Beverages,4.0,Evening,Cheap
490,47,F,Senior,"N",Beverages,6.0,Evening,Average
490,74,F,Senior,"N",Food,3.5,Evening,Cheap
494,35,M,Young,"N",Beverages,3.1,Evening,Cheap
495,24,N,Middle aged,"N",Beverages,6.0,Evening,Average
497,52,F,Senior,"N",Beverages,2.5,Evening,Cheap
501,39,F,Young,"N",Beverages,4.25,Evening,Average
510,35,M,Young,"N",Beverages,6.2,Evening,Average
510,79,M,Young,"N",Food,3.75,Evening,Cheap
511,26,M,Senior,"N",Beverages,6.0,Evening,Average
513,59,F,Middle aged,"N",Beverages,4.5,Morning,Average
516,43,M,Middle aged,"N",Beverages,6.0,Evening,Average
516,71,M,Middle aged,"N",Food,3.75,Evening,Cheap
523,25,F,Senior,"N",Beverages,2.2,Evening,Cheap
528,55,M,Middle aged,"N",Beverages,8.0,Evening,Average
529,36,F,Senior,"N",Beverages,3.75,Evening,Cheap
530,55,M,Middle aged,"N",Beverages,4.0,Evening,Cheap
534,22,F,Middle aged,"N",Beverages,2.0,Evening,Cheap
537,38,N,Senior,"N",Beverages,3.75,Evening,Cheap
539,29,F,Senior,"N",Beverages,2.5,Evening,Cheap
541,52,F,Middle aged,"N",Beverages,5.0,Evening,Average
546,27,M,Middle aged,"N",Beverages,3.5,Evening,Cheap
550,22,F,Senior,"N",Beverages,4.0,Morning,Cheap
